Year,Type,Country,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,latitude,longitude
2006,Unprovoked,USA,Florida,Wading,M,11,Minor injury to right hand & thigh,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Hawaii,Surfing,F,28,5 puncture wounds in left calf,N,Tiger   ,-14.270972,-170.132217
2006,Unprovoked,USA,Hawaii,Standing,F,15,Deep laceration to right calf,N,NA,-14.270972,-170.132217
2006,Boat,USA,Hawaii,Kayaking,M,57,No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,N,NA,-14.270972,-170.132217
2006,Unprovoked,USA,California,Night Surfing,M,NA,"No injury, but 2 small nicks on wetsuit",N,NA,36.778261,-119.417932
2006,Unprovoked,USA,Florida,Surfing,M,21,3 puncture wounds in right wrist & hand,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Florida,Wade-fishing,M,NA,"No injury, shark rammed his back",N,NA,27.664827,-81.515754
2007,Unprovoked,USA,Hawaii,Surfing,M,52,"No injury, shark bit surfboard ",N,Tiger   ,-14.270972,-170.132217
2007,Unprovoked,USA,Florida,Surfing,M,21,Cut to right knee,N,NA,27.664827,-81.515754
2007,Unprovoked,USA,Florida,Surfing,M,42,Lacerations to right leg,N,NA,27.664827,-81.515754
2007,Unprovoked,USA,Hawaii,Floating,M,32,Lacerations to left lower leg,N,Tiger   ,-14.270972,-170.132217
2007,Unprovoked,USA,California,Surfing,M,22,4 scratches on left hand,N,NA,36.778261,-119.417932
2007,Unprovoked,USA,Florida,Surfing,M,16,Severe lacerations to right hand,N,Blacktip,27.664827,-81.515754
2007,Unprovoked,USA,California,Surfing,M,NA,Puncture wound to foot,N,NA,36.778261,-119.417932
2007,Unprovoked,USA,California,Surfing,F,NA,"No injury to surfer, surfboard bitten",N,White,36.778261,-119.417932
2007,Unprovoked,EGYPT,Hurghada,Surfing,F,NA,Laceration to foot,N,NA,26.820553,30.802498
2007,Unprovoked,USA,Florida,Surfing,M,23,Small lacerations to bottom of right big toe,N,NA,27.664827,-81.515754
2007,Unprovoked,USA,Florida,Wading?,M,56,Laceration to right heel,N,NA,27.664827,-81.515754
2007,Unprovoked,USA,Florida,Surfing,F,NA,"No injury, surfboard bitten",N,NA,27.664827,-81.515754
2007,Unprovoked,USA,Florida,Snorkeling,M,14,"Minor injury, shark latched onto his abdomen",N,Nurse ,27.664827,-81.515754
2007,Unprovoked,USA,Florida,Wading,F,58,Puncture wounds & 2-inch laceration to calf,N,NA,27.664827,-81.515754
2007,Unprovoked,USA,Florida,Wading,F,36,Laceration to right big toe,N,NA,27.664827,-81.515754
2007,Unprovoked,USA,South Carolina,Standing,M,15,Lacerations to left calf and both feet ,N,NA,33.836081,-81.163725
2007,Unprovoked,USA,Florida,Jumping,F,12,Tiny punctures to arm,N,NA,27.664827,-81.515754
2007,Unprovoked,USA,Florida,Swimming,M,58,"3"" laceration to left forearm",N,Blacktip,27.664827,-81.515754
2007,Unprovoked,USA,Hawaii,Body boarding,M,15,Laceration to right heel,N,Tiger   ,-14.270972,-170.132217
2007,Unprovoked,USA,California,Surfing,M,24,Lacerations to thigh & torso,N,White,36.778261,-119.417932
2007,Unprovoked,USA,Florida,Surfing,M,54,Left hand  bitten,N,NA,27.664827,-81.515754
2007,Unprovoked,USA,Florida,Surfing,M,27, 6 lacerations to left hand,N,NA,27.664827,-81.515754
2007,Provoked,USA,North Carolina,Diving,M,NA,Minor injury from captive shark PROVOKED INCIDENT,N,Sandtiger,35.759573,-79.0193
2007,Provoked,USA,Delaware,Fishing,M,NA,Forearm bitten by hooked shark PROVOKED INCIDENT,N,Sandtiger,38.910832,-75.52767
